model,holdout,n_cats,n_convs,stopped,stop_rate_pct,rho,p,mmlu,params_b
claude-haiku-4.5,0.791,37,1050,597,56.857142857142854,-0.7122340650024912,7.655201819646724e-07,0.7987,
qwen3-32b,0.8925,57,1610,422,26.211180124223603,-0.7120040846005302,5.304931299762081e-10,0.7809,32.0
qwen3-14b,0.927,57,1610,440,27.32919254658385,-0.710328629257305,6.07047393934511e-10,0.7535,14.0
qwen2.5-72b,0.925,57,1610,150,9.316770186335404,-0.6028037207828313,6.98199166718212e-07,0.8158,72.0
gemini-3.1-pro,0.9005,57,1610,1077,66.8944099378882,-0.5974637701528215,9.271543951694888e-07,0.906,
qwen2.5-14b,0.907,57,1610,177,10.993788819875776,-0.5527042374981225,8.273330490077942e-06,0.7606,14.0
llama-3.1-70b,0.932,57,1610,339,21.055900621118013,-0.5166915084008361,3.8768946246820413e-05,0.8,70.0
llama-3.3-70b,0.9295,57,1610,390,24.22360248447205,-0.5027212572095477,6.74340532245279e-05,0.7997,70.0
qwen2.5-32b,0.9375,57,1610,131,8.136645962732919,-0.5020501048240193,6.920966096372594e-05,0.8051,32.0
qwen3-4b,0.904,57,1610,118,7.329192546583851,-0.47182146941275255,0.00021134650966741375,0.686,4.0
mistral-small-3.2-24b,0.8945,42,1130,472,41.769911504424776,-0.4534171921708504,0.002564582989090886,,24.0
qwen3-30b-a3b,0.917,57,1610,722,44.84472049689441,-0.4387903650256186,0.0006393881721901753,0.7842,30.0
olmo-3.1-32b,0.915,57,1610,93,5.77639751552795,-0.4011218676278967,0.0019861556619796086,0.6862,32.0
qwen2.5-7b,0.8395,57,1610,166,10.31055900621118,-0.3394433074972613,0.009790081989154034,0.7041,7.0
qwen2.5-vl-32b,0.921,42,1130,9,0.7964601769911505,-0.33878723058247817,0.028185832238459853,0.7695,32.0
qwen3-235b-a22b,0.917,37,1610,1562,97.01863354037268,-0.31702065170476934,0.055899785540801696,0.848,235.0
gemini-3-flash,0.903,38,1050,538,51.23809523809524,-0.23840062745720206,0.1494758600403087,,
gpt-5-nano,0.5327313769751693,11,1319,1,0.0758150113722517,-0.20000000000000004,0.5554454421055854,,
llama-3.2-3b,0.8615,57,1610,825,51.24223602484472,-0.16971591274358636,0.2069059784174639,0.5439,3.0
llama-3.1-8b,0.909,57,1610,354,21.987577639751553,-0.16877375594685054,0.2094752002238451,0.6107,8.0
llama-3.2-1b,0.7995,57,1610,150,9.316770186335404,-0.16692690252819148,0.21457649320871114,0.3428,1.0
gpt-5-mini,0.5056053811659192,14,755,12,1.5894039735099337,-0.14623276439984775,0.6178951347351258,,
qwen3-8b,0.888,57,1610,18,1.1180124223602483,-0.0552745401877788,0.6829942211356713,0.6456,8.0
qwen2.5-0.5b,0.8095,57,1610,11,0.6832298136645962,-0.051065213276645316,0.7059961179478575,0.3649,0.5
qwen2.5-1.5b,0.791,57,1610,3,0.18633540372670807,0.05527212200958974,0.6830073558583734,0.5721,1.5
qwen2.5-3b,0.796,57,1610,48,2.981366459627329,0.15967082672392172,0.23546002366362506,0.6241,3.0
internlm2.5-20b,0.5995,57,1610,0,0.0,,,0.6824,20.0
